arm,tp,conc,isl,osl,image,revision,total_tput,output_tput,total_token_throughput,request_throughput,completed,num_prompts,duration,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_e2el_ms,success,server_log,stdout,picklog
json,4,64,8192,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,67526.06,7491.43,67526.06246525167,8.127299608735257,640,640,78.74694311898202,289.5962768965546,2528.385388918687,8.053452436254595,12.019498352925782,7726.901957616792,True,json_isl8192_osl1024_tp4_conc64.server.log,json_isl8192_osl1024_tp4_conc64.stdout,
json,4,8,8192,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,17131.62,1925.88,17131.621890445193,2.080096393012994,80,80,38.45975612895563,161.79713381570764,661.541303335686,3.909502879628264,5.130774398240303,3787.663810516824,True,json_isl8192_osl1024_tp4_conc8.server.log,json_isl8192_osl1024_tp4_conc8.stdout,
json,8,128,8192,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,103124.68,11422.66,103124.67749741698,12.414497205807118,1280,1280,103.1052630469203,462.46047612057737,4862.351370570252,10.506283839534602,15.463756873457028,10138.604030487113,True,json_isl8192_osl1024_tp8_conc128.server.log,json_isl8192_osl1024_tp8_conc128.stdout,
json,8,16,8192,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,31508.27,3491.32,31508.2673353984,3.814970111546295,160,160,41.94004024192691,242.35005726513918,1412.0782061619684,4.162915221024642,5.64967656321601,4055.5104128987296,True,json_isl8192_osl1024_tp8_conc16.server.log,json_isl8192_osl1024_tp8_conc16.stdout,
json,8,256,8192,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,128187.5,14247.15,128187.50452224581,15.451565661144826,2560,2560,165.6790034188889,790.9801516714651,9304.780967643019,16.870564172295076,20.930245153004407,16357.878867824546,True,json_isl8192_osl1024_tp8_conc256.server.log,json_isl8192_osl1024_tp8_conc256.stdout,
json,8,32,8192,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,50365.28,5632.24,50365.27672346925,6.085967117919557,320,320,52.57997517893091,304.0481228134013,2463.006316726096,5.1896804737485285,6.8947172146117355,5109.902265575511,True,json_isl8192_osl1024_tp8_conc32.server.log,json_isl8192_osl1024_tp8_conc32.stdout,
json,8,4,8192,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,9663.65,1075.01,9663.654459499732,1.1683250317510367,40,40,34.23704783595167,245.69488241686486,1200.5204008682629,3.3698183973098748,4.561983406302697,3345.0014770729467,True,json_isl8192_osl1024_tp8_conc4.server.log,json_isl8192_osl1024_tp8_conc4.stdout,
json,8,64,8192,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,75396.61,8364.6,75396.61178550975,9.074582925365506,640,640,70.52665728703141,270.5699454723799,2243.006376130507,7.19168891307019,11.80402694010755,6915.379416261931,True,json_isl8192_osl1024_tp8_conc64.server.log,json_isl8192_osl1024_tp8_conc64.stdout,
json,8,8,8192,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,17293.53,1944.08,17293.525990541046,2.099754551287619,80,80,38.09969120007008,242.37412087677512,1527.7500513917767,3.7790748645170553,6.242575644241535,3749.098120527924,True,json_isl8192_osl1024_tp8_conc8.server.log,json_isl8192_osl1024_tp8_conc8.stdout,
pmbcnw,1,32,1024,1024,vllm/vllm-openai-rocm:nightly,218917094+dirty,6380.29,3195.2,6380.293995693623,3.459167538289437,320,320,92.5078061290551,160.59962433428154,1228.9551524585113,9.63151561762666,11.619837265557988,9054.54616164352,True,pmbcnw_isl1024_osl1024_tp1_conc32.server.log,pmbcnw_isl1024_osl1024_tp1_conc32.stdout,pmbcnw_isl1024_osl1024_tp1_conc32.picklog
